Iteration Report
Iteration,Op ID,Op Name,Direction,Op Type,Kernel Name,Device ID,GPU Start Time (ns),GPU Duration (ns),API Call Start (ns),API Call Time (ns),Uses TC,Grid X,Grid Y,Grid Z,Block X,Block Y,Block Z,Data Types,Input Shapes,Parameters,Output Shapes,Long Kernel Name
0,"CONV2D_1","/module/dummy_network::_call_impl/dummy_network::forward/Conv2d::_call_impl/Conv2d::forward/Conv2d::_conv_forward/conv2d",fprop,"conv2d","computeOffsetsKernel",0,2835625461,2208,2835616288,9193,no,8,1,1,128,1,1,float32,"<N:32, C:3, H:32, W:32>; <K:6, C:3, R:3, S:3>; <6>","","<N:32, K:6, P:30, Q:30>","cudnn::gemm::computeOffsetsKernel(cudnn::gemm::ComputeOffsetsParams)"
0,"CONV2D_1","/module/dummy_network::_call_impl/dummy_network::forward/Conv2d::_call_impl/Conv2d::forward/Conv2d::_conv_forward/conv2d",fprop,"conv2d","compute_gemm_pointers",0,2835869428,2176,2835862717,3873,no,544,1,1,1,1,1,float32,"<N:32, C:3, H:32, W:32>; <K:6, C:3, R:3, S:3>; <6>","","<N:32, K:6, P:30, Q:30>","compute_gemm_pointers(float2 **, const float2 *, int, const float2 *, int, const float2 *, int, int)"
0,"CONV2D_1","/module/dummy_network::_call_impl/dummy_network::forward/Conv2d::_call_impl/Conv2d::forward/Conv2d::_conv_forward/conv2d",fprop,"conv2d","explicit_convolve_sgemm",0,2835754100,20064,2835742278,10489,no,900,1,1,8,8,1,float32,"<N:32, C:3, H:32, W:32>; <K:6, C:3, R:3, S:3>; <6>","","<N:32, K:6, P:30, Q:30>","void cudnn::detail::explicit_convolve_sgemm<float, int, (int)128, (int)5, (int)5, (int)3, (int)3, (int)3, (int)0, (bool)1>(int, int, int, const T1 *, int, const T1 *, int, T1 *, kernel_conv_params, int, int, float, float, int, T1 *, T1 *)"
0,"CONV2D_1","/module/dummy_network::_call_impl/dummy_network::forward/Conv2d::_call_impl/Conv2d::forward/Conv2d::_conv_forward/conv2d",fprop,"conv2d","fft2d_c2r_32x32",0,2835897588,10656,2835882986,3589,no,12,1,1,512,1,1,float32,"<N:32, C:3, H:32, W:32>; <K:6, C:3, R:3, S:3>; <6>","","<N:32, K:6, P:30, Q:30>","void fft2d_c2r_32x32<float, (bool)0, (bool)0, (unsigned int)0, (bool)0, (bool)0>(T1 *, const float2 *, int, int, int, int, int, int, int, int, int, float, float, cudnn::reduced_divisor, bool, T1 *, T1 *, int2, int, int)"
0,"CONV2D_1","/module/dummy_network::_call_impl/dummy_network::forward/Conv2d::_call_impl/Conv2d::forward/Conv2d::_conv_forward/conv2d",fprop,"conv2d","fft2d_c2r_32x32",0,2836028660,10495,2836009483,2960,no,12,1,1,512,1,1,float32,"<N:32, C:3, H:32, W:32>; <K:6, C:3, R:3, S:3>; <6>","","<N:32, K:6, P:30, Q:30>","void fft2d_c2r_32x32<float, (bool)0, (bool)0, (unsigned int)0, (bool)0, (bool)0>(T1 *, const float2 *, int, int, int, int, int, int, int, int, int, float, float, cudnn::reduced_divisor, bool, T1 *, T1 *, int2, int, int)"
0,"CONV2D_1","/module/dummy_network::_call_impl/dummy_network::forward/Conv2d::_call_impl/Conv2d::forward/Conv2d::_conv_forward/conv2d",fprop,"conv2d","fft2d_r2c_32x32",0,2835852532,10848,2835846918,4958,no,2,1,1,512,1,1,float32,"<N:32, C:3, H:32, W:32>; <K:6, C:3, R:3, S:3>; <6>","","<N:32, K:6, P:30, Q:30>","void fft2d_r2c_32x32<float, (bool)0, (unsigned int)0, (bool)0>(float2 *, const T1 *, int, int, int, int, int, int, int, int, int, cudnn::reduced_divisor, bool, int2, int, int)"
0,"CONV2D_1","/module/dummy_network::_call_impl/dummy_network::forward/Conv2d::_call_impl/Conv2d::forward/Conv2d::_conv_forward/conv2d",fprop,"conv2d","fft2d_r2c_32x32",0,2835858996,9856,2835852759,4876,no,6,1,1,512,1,1,float32,"<N:32, C:3, H:32, W:32>; <K:6, C:3, R:3, S:3>; <6>","","<N:32, K:6, P:30, Q:30>","void fft2d_r2c_32x32<float, (bool)0, (unsigned int)0, (bool)0>(float2 *, const T1 *, int, int, int, int, int, int, int, int, int, cudnn::reduced_divisor, bool, int2, int, int)"
0,"CONV2D_1","/module/dummy_network::_call_impl/dummy_network::forward/Conv2d::_call_impl/Conv2d::forward/Conv2d::_conv_forward/conv2d",fprop,"conv2d","fft2d_r2c_32x32",0,2835993780,10623,2835985007,8324,no,2,1,1,512,1,1,float32,"<N:32, C:3, H:32, W:32>; <K:6, C:3, R:3, S:3>; <6>","","<N:32, K:6, P:30, Q:30>","void fft2d_r2c_32x32<float, (bool)0, (unsigned int)0, (bool)0>(float2 *, const T1 *, int, int, int, int, int, int, int, int, int, cudnn::reduced_divisor, bool, int2, int, int)"
0,"CONV2D_1","/module/dummy_network::_call_impl/dummy_network::forward/Conv2d::_call_impl/Conv2d::forward/Conv2d::_conv_forward/conv2d",fprop,"conv2d","fft2d_r2c_32x32",0,2836001204,9599,2835996145,3866,no,6,1,1,512,1,1,float32,"<N:32, C:3, H:32, W:32>; <K:6, C:3, R:3, S:3>; <6>","","<N:32, K:6, P:30, Q:30>","void fft2d_r2c_32x32<float, (bool)0, (unsigned int)0, (bool)0>(float2 *, const T1 *, int, int, int, int, int, int, int, int, int, cudnn::reduced_divisor, bool, int2, int, int)"
0,"CONV2D_1","/module/dummy_network::_call_impl/dummy_network::forward/Conv2d::_call_impl/Conv2d::forward/Conv2d::_conv_forward/conv2d",fprop,"conv2d","flip_filter",0,2835845300,2272,2835835883,9455,no,6,3,1,3,3,1,float32,"<N:32, C:3, H:32, W:32>; <K:6, C:3, R:3, S:3>; <6>","","<N:32, K:6, P:30, Q:30>","void flip_filter<float, float>(T2 *, const T1 *, int, int, int, int)"
